epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2293.71,1.38232,1.24128,1.02047,0.93816,0.94165,0.96263,0.68606,1.08502,39.1255,0.92878,0.000554645,0.000554645,0.000554645
2,2582.56,0.91461,0.59305,0.87613,0.95102,0.96261,0.97945,0.77552,0.80743,inf,0.86253,0.00100039,0.00100039,0.00100039
3,2866.95,0.79922,0.51835,0.85073,0.96944,0.97251,0.99207,0.81869,0.71296,24.1251,0.84659,0.00133611,0.00133611,0.00133611
4,3158.06,0.71158,0.46141,0.83411,0.98303,0.96858,0.9921,0.84637,0.63305,0.48254,0.83027,0.0011719,0.0011719,0.0011719
5,3442.95,0.64394,0.41768,0.82096,0.98149,0.98253,0.99242,0.86146,0.58953,22.3881,0.82065,0.00100687,0.00100687,0.00100687
6,3726.76,0.5965,0.38931,0.81285,0.98723,0.98344,0.99407,0.87471,0.57659,0.74815,0.81643,0.000841835,0.000841835,0.000841835
7,4011.49,0.56072,0.36882,0.80805,0.98259,0.97138,0.99202,0.85703,0.6325,0.36179,0.82925,0.000676802,0.000676802,0.000676802
8,4296.27,0.53041,0.34727,0.80318,0.99169,0.98985,0.99386,0.90087,0.47351,0.3114,0.79991,0.000511769,0.000511769,0.000511769
9,4581.69,0.49034,0.33144,0.79758,0.9937,0.99277,0.99416,0.90541,0.45917,0.2912,0.7977,0.000346736,0.000346736,0.000346736
10,4864.23,0.4558,0.31003,0.79342,0.99631,0.9948,0.99425,0.91086,0.45265,0.28511,0.79656,0.000181703,0.000181703,0.000181703
